status,match_pass,similarity_score,agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
discontinued,,,CITY UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,15528,2025,26650000,0,"35 12554-09-5 CITY UNIVERSITY OF NEW YORK (APPROPRIATED TO THE CITY UNIVERSITY CONSTRUCTION FUND) SENIOR COLLEGES CAPITAL PROJECTS 2025-26 1 a portion of the amounts hereby appropri- 2 ated may be suballocated or transferred to 3 the dormitory authority of the state of 4 New York for such purpose (30IN2508) ....... 133,000,000 5 PROJECT ADMINISTRATION (CCP) ................................ 45,030,000 6 -------------- 7 Capital Projects Funds - Other 8 Capital Projects Fund - 30000 9 Administration Purpose 10 For payment to the dormitory authority of 11 the state of New York, for services and 12 expenses of the authority related to 13 construction activities administered by 14 the authority for the state share of capi- 15 tal projects of the city university of New 16 York which are appropriated by the state 17 and otherwise authorized by law (30DA2550) 18 (15528) ..................................... 26,650,000",35,18,2025-26,CAP 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15528|2025|26650000
discontinued,,,CITY UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,40800,2025,18380000,0,"19 For payment to the city university 20 construction fund, for services and 21 expenses of the city university 22 construction fund related to construction 23 activities administered by the city 24 university construction fund for the state 25 share of capital projects of the city 26 university of New York which are appropri- 27 ated by the state and otherwise authorized 28 by law (30CF2550) (40800) ................... 18,380,000",35,28,2025-26,CAP 25-26.pdf,CITY UNIVERSITY OF NEW YORK|40800|2025|18380000
discontinued,,,EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,23304,2025,4200000,0,"19 For the maintenance and operation of various 20 facilities and systems including personal 21 services, fringe benefits and indirect 22 costs. Notwithstanding any other law to 23 the contrary, all or a portion of the 24 funds appropriated herein may be suballo- 25 cated or transferred to any department, 26 agency, or public authority (11PS2503) 27 (23304) ...................................... 4,200,000",137,27,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23304|2025|4200000
discontinued,,,EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,23369,2025,4470000,0,"10 SCHOOL FOR THE BLIND (CCP) ................................... 4,470,000 11 -------------- 12 Capital Projects Funds - Other 13 Capital Projects Fund - 30000 14 Program Improvement/Change Purpose 15 For various rehabilitation and renovation 16 projects to keep facilities at the School 17 for the Blind in a safe and satisfactory 18 operating condition subject to a plan 19 developed by the education department and 20 approved by the director of the budget 21 (11BB2508) (23369) ........................... 4,470,000",139,21,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23369|2025|4470000
discontinued,,,DEPARTMENT OF HEALTH,CAPITAL PROJECTS,Capital Projects Fund,Department of Social Services Account - 31853,26624,2025,10000000,0,"440 12554-09-5 DEPARTMENT OF HEALTH CAPITAL PROJECTS 2025-26 1 For the comprehensive construction programs, purposes and 2 projects as herein specified in accordance with the 3 following: 4 APPROPRIATIONS REAPPROPRIATIONS 5 Capital Projects Funds - Other ..... 1,238,170,000 5,419,896,000 6 Capital Projects Funds - Federal ... 322,500,000 1,082,874,000 7 ---------------- ---------------- 8 All Funds ........................ 1,560,670,000 6,502,770,000 9 ================ ================ 10 ALL PAYERS CLAIMS DATABASE (CCP) ............................ 10,000,000 11 -------------- 12 Capital Projects Funds - Other 13 Capital Projects Fund - 30000 14 Program Improvement/Change Purpose 15 For grants, services and expenses related to 16 the establishment, support, and adminis- 17 tration of an all payers claim database, 18 including but not limited to technology, 19 equipment, software, personal service, 20 fringe benefits, and indirect costs. For 21 purposes of the program, all such activ- 22 ities are deemed to constitute a capital 23 expenditure. No expenditures related to 24 this appropriation shall be made without a 25 plan, prepared by the commissioner of 26 health and approved by the director of the 27 budget, detailing sufficient resources are 28 available to support such expenditures 29 (12AP2508) (26624) .......................... 10,000,000",440,29,2025-26,CAP 25-26.pdf,DEPARTMENT OF HEALTH|26624|2025|10000000
discontinued,,,DEPARTMENT OF HEALTH,CAPITAL PROJECTS,Capital Projects Fund,Health Care IT Capital Account - 32216,81107,2025,9000000,0,"441 12554-09-5 DEPARTMENT OF HEALTH CAPITAL PROJECTS 2025-26 1 defined in section 159 of the social 2 services law, and used to support capital 3 improvement projects that will enhance the 4 physical environment of the facility and 5 promote a higher quality of life for resi- 6 dents, in accordance with a plan approved 7 by the residents' council, the department, 8 and the director of the budget, provided 9 however that such expenditures shall not 10 be used to supplant the obligations of 11 facility operator to provide a safe 12 comfortable living environment for resi- 13 dents in a good state of repair and sani- 14 tation. The department, subject to the 15 approval of the director of the division 16 of budget, shall develop an allocation 17 methodology taking into account financial 18 status of the facility, resident needs, 19 and the population of residents who 20 receive supplemental security income, 21 state supplemental payments, Medicaid 22 (with respect to residents in an assisted 23 living program), or safety net assistance. 24 Such allocation shall serve as the basis 25 of distribution to eligible facilities 26 (12EQ25MO) ................................... 3,266,000 27 For the maintenance and operation of various 28 facilities and systems including personal 29 services, fringe benefits, and indirect 30 costs. Notwithstanding any other law to 31 the contrary, all or a portion of the 32 funds appropriated herein may be suballo- 33 cated or transferred to any department, 34 agency, or public authority (12FM25MO) 35 (81107) ...................................... 9,000,000",441,35,2025-26,CAP 25-26.pdf,DEPARTMENT OF HEALTH|81107|2025|9000000
discontinued,,,DEPARTMENT OF HEALTH,CAPITAL PROJECTS,Capital Projects Fund,Health Care IT Capital Account - 32216,26665,2025,51304000,0,"24 The sum of $51,304,000 is hereby appropri- 25 ated to support capital expenses of the 26 Roswell Park cancer institute corporation. 27 Notwithstanding any law to the contrary, all 28 or a portion of funds appropriated herein 29 may be transferred to the Roswell Park 30 cancer institute corporation, subject to a 31 plan developed by Roswell Park cancer 32 institute corporation, submitted to the 33 department of health, and approved by the 34 director of the budget (12RP2503) (26665) ... 51,304,000",443,34,2025-26,CAP 25-26.pdf,DEPARTMENT OF HEALTH|26665|2025|51304000
discontinued,,,DEPARTMENT OF HEALTH,CAPITAL PROJECTS,Capital Projects Fund,Health Care IT Capital Account - 32216,26628,2025,35000000,0,"19 STATEWIDE HEALTH INFORMATION NETWORK FOR NEW YORK (CCP) ..... 35,000,000 20 -------------- 21 Capital Projects Funds - Other 22 Capital Projects Fund - 30000 23 Program Improvement/Change Purpose 24 For grants, services and expenses including 25 contracts for the New York eHealth Colla- 26 borative for the purpose of supporting and 27 administering the statewide health infor- 28 mation network for New York, including but 29 not limited to qualified entities certi- 30 fied by the department, technology, equip- 31 ment, software, personal service, fringe 32 benefits, and indirect costs. For purposes 33 of the program, all such activities are 34 deemed to constitute a capital expendi- 35 ture. Provided, however, that two million 36 five hundred thousand dollars shall be 37 used for modernizing health reporting 38 systems. No expenditures related to this 39 appropriation shall be made without a 40 plan, prepared by the commissioner of 41 health and approved by the director of the 42 budget, detailing sufficient resources are 43 available to support such expenditures. 44 Use of such funds shall not be subject to 45 the requirements of section 163 of the 46 state finance law. (12SH2508) (26628) ....... 35,000,000",444,46,2025-26,CAP 25-26.pdf,DEPARTMENT OF HEALTH|26628|2025|35000000
discontinued,,,DEPARTMENT OF MOTOR VEHICLES,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,50000,2025,142192000,0,"647 12554-09-5 DEPARTMENT OF MOTOR VEHICLES CAPITAL PROJECTS 2025-26 1 For the comprehensive construction programs, purposes and 2 projects as herein specified in accordance with the 3 following: 4 APPROPRIATIONS REAPPROPRIATIONS 5 Capital Projects Funds - Other ..... 336,469,000 533,493,000 6 ---------------- ---------------- 7 All Funds ........................ 336,469,000 533,493,000 8 ================ ================ 9 TRANSPORTATION SUPPORT (CCP) ............................... 336,469,000 10 -------------- 11 Capital Projects Funds - Other 12 Dedicated Highway and Bridge Trust Fund 13 Highway and Bridge Capital Account - 30051 14 Transportation Support Purpose 15 For services and expenses of the department 16 of motor vehicles. 17 The items shown in the schedule below shall 18 be for projects with a common purpose and 19 may be interchanged without limitation 20 subject to the approval of the director of 21 the budget. 22 Notwithstanding any other provision of law 23 to the contrary, the OGS Interchange and 24 Transfer Authority and the IT Interchange 25 and Transfer Authority as defined in the 26 state fiscal year state operations appro- 27 priation for the budget division program 28 of the division of the budget, are deemed 29 fully incorporated herein and a part of 30 this appropriation as if fully stated 31 (39012). 32 Personal service (231125TS) (50000) .......... 142,192,000",647,32,2025-26,CAP 25-26.pdf,DEPARTMENT OF MOTOR VEHICLES|50000|2025|142192000
discontinued,,,DIVISION OF STATE POLICE,CAPITAL PROJECTS,Capital Projects Fund,Equitable Sharing-DSP - Justice Account - 32220,81107,2025,10030000,0,"692 12554-09-5 DIVISION OF STATE POLICE CAPITAL PROJECTS 2025-26 1 For the comprehensive construction programs, purposes and 2 projects as herein specified in accordance with the 3 following: 4 APPROPRIATIONS REAPPROPRIATIONS 5 Capital Projects Fund - Other ...... 144,912,000 351,293,000 6 ---------------- ---------------- 7 All Funds ........................ 144,912,000 351,293,000 8 ================ ================ 9 FACILITIES MAINTENANCE AND OPERATIONS (CCP) ................. 10,030,000 10 -------------- 11 Capital Projects Funds - Other 12 Capital Projects Fund - 30000 13 Maintenance and Operations Purpose 14 For the maintenance and operation of various 15 facilities and systems including personal 16 services, fringe benefits and indirect 17 costs. Notwithstanding any other law to 18 the contrary, all or a portion of the 19 funds appropriated herein may be suballo- 20 cated or transferred to any department, 21 agency, or public authority (06FM25MO) 22 (81107) ..................................... 10,030,000",692,22,2025-26,CAP 25-26.pdf,DIVISION OF STATE POLICE|81107|2025|10030000
discontinued,,,STATE UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,Equitable Sharing-DSP - Justice Account - 32220,81107,2025,234643000,0,"701 12554-09-5 STATE UNIVERSITY OF NEW YORK (APPROPRIATED TO THE STATE UNIVERSITY CONSTRUCTION FUND) CAPITAL PROJECTS 2025-26 1 For the comprehensive construction programs, purposes and 2 projects as herein specified in accordance with the 3 following: 4 APPROPRIATIONS REAPPROPRIATIONS 5 Capital Projects Funds - Other ..... 2,481,116,000 5,887,087,000 6 Capital Projects Fund - Federal .... 5,000,000 0 7 ---------------- ---------------- 8 All Funds ........................ 2,486,116,000 5,887,087,000 9 ================ ================ 10 FACILITIES MAINTENANCE AND OPERATIONS (CCP) ................ 234,643,000 11 -------------- 12 Capital Projects Funds - Other 13 Capital Projects Fund - 30000 14 Maintenance and Operations Purpose 15 For the maintenance and operation of various 16 facilities and systems including personal 17 services, fringe benefits and indirect 18 costs. Notwithstanding any other law to 19 the contrary, all or a portion of the 20 funds appropriated herein may be suballo- 21 cated or transferred to any department, 22 agency, or public authority (28FM25MO) 23 (81107) .................................... 234,643,000",701,23,2025-26,CAP 25-26.pdf,STATE UNIVERSITY OF NEW YORK|81107|2025|234643000
discontinued,,,STATE UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,SUNY Federal Capital Projects Account - 31382,45904,2025,31007000,0,"707 12554-09-5 STATE UNIVERSITY OF NEW YORK (APPROPRIATED TO THE STATE UNIVERSITY CONSTRUCTION FUND) CAPITAL PROJECTS 2025-26 1 Capital Projects Fund - 30000 2 Administration Purpose 3 For payment to the state university 4 construction fund, for services and 5 expenses of the state university 6 construction fund including payments for 7 personal service, fringe benefits charges, 8 supplies and materials, contractual 9 services, equipment, travel expenses, 10 indirect costs and liabilities incurred 11 prior to April 1, 2025 (28SF2550) (45904) ... 31,007,000",707,11,2025-26,CAP 25-26.pdf,STATE UNIVERSITY OF NEW YORK|45904|2025|31007000
discontinued,,,DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Transportation Account - 31354,50000,2025,178000,0,"13 Watertown Jefferson County Area Transportation Council 14 For the continuing comprehensive transporta- 15 tion planning and coordinated support 16 undertaken as part of the united work 17 programs of participating local planning 18 or municipal agreements in accordance with 19 grant agreements approved by the federal 20 transit administration or the federal 21 highway administration (54203). 22 Personal service (17W12530) (50000) .............. 178,000",835,22,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|50000|2025|178000
discontinued,,,DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Aviation Purpose Account - 30053,50000,2025,186718000,0,"26 Capital Projects Funds - Other 27 Dedicated Highway and Bridge Trust Fund 28 Highway and Bridge Capital Account - 30051 29 Highway Maintenance Purpose 30 For the payment of costs, including the 31 payment of liabilities incurred prior to 32 April 1, 2025, of preventive maintenance 33 on state roads and bridges as defined in 34 paragraph (a) of subdivision 1 of section 35 10-d of the highway law, and snow and ice 36 control on state highways, including 37 personal services, nonpersonal services, 38 fringe benefits and contractual services 39 provided by private firms and munici- 40 palities, but not including the costs of 41 heavy equipment (53260). 42 Personal service (170125HM) (50000) .......... 186,718,000",847,42,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|50000|2025|186718000
discontinued,,,DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,57050,2025,60953000,0,"848 12554-09-5 DEPARTMENT OF TRANSPORTATION CAPITAL PROJECTS 2025-26 1 ment, including the payment of liabilities 2 incurred prior to April 1, 2025 (54275). 3 Nonpersonal service (170525HM) (57050) ........ 60,953,000",848,3,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|57050|2025|60953000
discontinued,,,DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,50000,2025,5000000,0,"849 12554-09-5 DEPARTMENT OF TRANSPORTATION CAPITAL PROJECTS 2025-26 1 matching funds saved as a result of the 2 use of non-federal aid funds for local 3 bridge projects are made available for 4 bridge projects on the state highway 5 system. The total amount of non-federally 6 aided highway funds made available for 7 local bridge projects from this appropri- 8 ation shall not exceed $2,500,000 in state 9 fiscal year 2025-26 (53164). 10 Personal service (17012522) (50000) ............ 5,000,000",849,10,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|50000|2025|5000000
discontinued,,,DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,50000,2025,48261000,0,"24 Capital Projects Funds - Other 25 Dedicated Highway and Bridge Trust Fund 26 Highway and Bridge Capital Account - 30051 27 Preparation of Plans Purpose 28 Capital Project Management and Traffic and Safety 29 For capital project management and traffic 30 and safety, including personal services, 31 nonpersonal services, fringe benefits, and 32 the contract services provided by private 33 firms (53263). 34 Personal service (17P12530) (50000) ........... 48,261,000",849,34,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|50000|2025|48261000
discontinued,,,DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,50000,2025,37183000,0,"850 12554-09-5 DEPARTMENT OF TRANSPORTATION CAPITAL PROJECTS 2025-26 1 appropriation for the budget division 2 program of the division of the budget, are 3 deemed fully incorporated herein and a 4 part of this appropriation as if fully 5 stated (53262). 6 Personal service (17A12530) (50000) ........... 37,183,000",850,6,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|50000|2025|37183000
discontinued,,,DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,50000,2025,15165000,0,"851 12554-09-5 DEPARTMENT OF TRANSPORTATION CAPITAL PROJECTS 2025-26 1 benefits and the contract services 2 provided by private firms. 3 Notwithstanding any other provision of law 4 to the contrary, the OGS Interchange and 5 Transfer Authority and the IT Interchange 6 and Transfer Authority as defined in the 7 2025-26 state fiscal year state operations 8 appropriation for the budget division 9 program of the division of the budget, are 10 deemed fully incorporated herein and a 11 part of this appropriation as if fully 12 stated (53264). 13 Personal service (17R12530) (50000) ........... 15,165,000",851,13,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|50000|2025|15165000
